pattern,severity,imputer,n_turbines,rmse,roc_auc,detection_rate,false_alarm_rate
block,0.1,ffill,5,6.309649231021572,0.9412747600982302,1.0,0.2614808677675978
block,0.1,linear,5,4.811212736452323,0.9486840142151175,1.0,0.2571318294449111
block,0.1,median,5,9.19081967886606,0.9175373076335471,1.0,0.26739716834456984
block,0.3,ffill,5,6.6959280618559776,0.870843906643171,1.0,0.5261760662565849
block,0.3,linear,5,5.175095233845189,0.8955313639297356,1.0,0.5100649787662231
block,0.3,median,5,8.940060675739144,0.8161420723574503,1.0,0.5408339988639058
clean,0.0,none,5,0.0,0.9798701462328687,1.0,0.11011898729037702
dropout,0.1,ffill,5,9.884223823971391,0.9115747373323029,1.0,0.21161766637977034
dropout,0.1,linear,5,8.66570635098908,0.9186589309289867,1.0,0.21157712168273707
dropout,0.1,median,5,9.42552359754337,0.9078028133288024,1.0,0.212673012093696
dropout,0.3,ffill,5,9.013930145380055,0.800442103206594,1.0,0.39785325309428626
dropout,0.3,linear,5,8.187523228446588,0.8236450176296642,1.0,0.3973428418978978
dropout,0.3,median,5,8.903784302714616,0.8034429174745993,1.0,0.3989506488492162
random,0.1,ffill,5,2.726642915539035,0.9695338364332,1.0,0.5168911161340315
random,0.1,linear,5,2.0497168384409834,0.9751706171033367,1.0,0.3575200971080925
random,0.1,median,5,8.958993003059025,0.9222628956474315,1.0,0.8456880322089985
random,0.3,ffill,5,2.9097134702087444,0.9430560991796281,1.0,0.8244654056250835
random,0.3,linear,5,2.1325547954981934,0.9615229180454288,1.0,0.6338060228314333
random,0.3,median,5,8.97677835263498,0.812300013465762,1.0,0.9853480887685635
